Would you like to continue to finish this survey?,How long have you been programming?,How long have you participated (in any way) in Open Source Software (OSS)?,"Please indicate your level of agreement with the following statement:


""I pay attention to the 'Why' information when writing commit messages.""","Please indicate your level of agreement with the following statement: 

""I pay attention to the 'What' information when writing commit messages.""",Do you think the quality of previous commit messages written by others has any impact on the code change that you commit?,"Please identify the potential impacts of not having ""Why"" information in commit messages: - Other developers may not fully/correctly understand the code changes made in the commits","Please identify the potential impacts of not having ""Why"" information in commit messages: - The maintainability of the software will be hampered","Please identify the potential impacts of not having ""Why"" information in commit messages: - The readability/understandability of the entire code base will be reduced","Please identify the potential impacts of not having ""Why"" information in commit messages: - The software's handover in the future will be more difficult","Please identify the potential impacts of not having ""Why"" information in commit messages: - There is no impact","If you believe there are other impacts of not having ""Why"" information in commit message, please briefly describe:","Please identify the potential impacts of not having ""What"" information in commit messages: - Other developers may not fully/correctly understand the code changes made in the commits","Please identify the potential impacts of not having ""What"" information in commit messages: - The maintainability of the software will be hampered","Please identify the potential impacts of not having ""What"" information in commit messages: - The readability/understandability of the entire code base will be reduced","Please identify the potential impacts of not having ""What"" information in commit messages: - The software's handover in the future will be more difficult","Please identify the potential impacts of not having ""What"" information in commit messages: - There is no impact","If you believe there are other impacts of not having ""What"" information in commit message, please briefly describe:","Do you think ""Good"" commit message is important in ensuring software quality?",Which type of information in commit messages do you think is more important in preventing bugs? - Selected Choice,"Which type of information in commit messages do you think is more important in preventing bugs? - Other, please specify: - Text","Researchers have found that some developers include ""Why"" information in commit messages by providing an issue report/pull request link.

Do you think it’s a good practice to attach issue report/pull request links to commit messages (instead of directly writing texts) to include ""Why"" information?","Please indicate your level of agreement with the following statement:

""When I see a commit message with an issue report/pull request link, and this commit message does not seem to have 'Why', I would always expect to get additional information in the link.""","Are you aware of any guidelines about writing ""Good"" commit messages? - Selected Choice","Are you aware of any guidelines about writing ""Good"" commit messages? - Yes, please specify: (e.g. links, documents...) - Text","In addition to it containing ""What"" and ""Why"", what other aspects do you think are also important to writing a ""Good"" commit message? Select all that apply - Selected Choice","In addition to it containing ""What"" and ""Why"", what other aspects do you think are also important to writing a ""Good"" commit message? Select all that apply - Other, please specify: - Text","Please identify which of the following statements best describes the evolution of your commit message writing quality in terms of ""Why"": - Selected Choice","Please identify which of the following statements best describes the evolution of your commit message writing quality in terms of ""Why"": - Other, please specify: - Text","Please identify which of the following statements best describes the evolution of your commit message writing quality in terms of ""What"": - Selected Choice","Please identify which of the following statements best describes the evolution of your commit message writing quality in terms of ""What"": - Other, please specify: - Text",Please briefly describe the reasons for selecting the choices of the previous 2 questions:
I consent,10 years or more but less than 15 years,5 years or more but less than 10 years,Strongly agree,Strongly agree,Probably yes,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly disagree,,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,,,Definitely yes,"""Why"" (a description of the reasons for the changes)",,Definitely yes,Strongly agree,"Yes, please specify: (e.g. links, documents...)",https://cbea.ms/git-commit/,"A consice and to-the-point writing with the number of words restricted,A consistent commit message writing style/format/pattern across all commits in a project,A grammatically correct writing that is easy to read/understand,The inclusion of test case information related to the code change",,"I tend to write ""Why"" in commit messages over time",,"I tend to write ""What"" in commit messages over time",,
I consent,5 years or more but less than 10 years,2 years or more but less than 5 years,Agree,Agree,Probably yes,Agree,Strongly agree,Neither agree nor disagree,Agree,Disagree,,Agree,Agree,Agree,Agree,Disagree,,Definitely yes,"""Why"" (a description of the reasons for the changes)",,Definitely yes,Agree,No,,"A consice and to-the-point writing with the number of words restricted,A grammatically correct writing that is easy to read/understand",,"I tend to ignore writing ""Why"" in commit messages over time",,"I tend to write ""What"" in commit messages over time",,"It depends on project type - for smaller open-source projects for self/team purposes, a ""why"" is not really needed unless it is hard to understand. A ""what"" is always needed."
I consent,10 years or more but less than 15 years,2 years or more but less than 5 years,Disagree,Strongly agree,Definitely yes,Neither agree nor disagree,Disagree,Disagree,Strongly disagree,Neither agree nor disagree,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,,Probably yes,"""What"" (a summary of the code changes in the commit)",,Definitely yes,Strongly agree,"Yes, please specify: (e.g. links, documents...)","linking an issue, as well as using conventional commit messages ",A consistent commit message writing style/format/pattern across all commits in a project,,"I tend to ignore writing ""Why"" in commit messages over time",,"I tend to write ""What"" in commit messages over time",,what changed is more important to me than why it changed. Although I do agree that linking the issue in the commit message helps tremendously with the why
I consent,Over 20 years,5 years or more but less than 10 years,Strongly agree,Agree,Definitely yes,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly disagree,,Agree,Agree,Agree,Agree,Disagree,,Definitely yes,"""Why"" and ""What"" are equally important",,Definitely yes,Agree,No,,"A consice and to-the-point writing with the number of words restricted,A consistent commit message writing style/format/pattern across all commits in a project",,"I tend to write ""Why"" in commit messages over time",,"I tend to ignore writing ""What"" in commit messages over time",,
I consent,5 years or more but less than 10 years,2 years or more but less than 5 years,Strongly agree,Agree,Definitely yes,,,,,,,,,,,,,,,,,,,,,,,,,,
I consent,Over 20 years,Over 20 years,Agree,Strongly agree,Probably yes,Strongly agree,Agree,Agree,Strongly agree,Disagree,It may be harder to correctly identify when bugs were introduced into the code base.,Strongly agree,Agree,Strongly agree,Strongly agree,Disagree,,Probably yes,"""What"" (a summary of the code changes in the commit)",,Probably yes,Strongly agree,No,,A consice and to-the-point writing with the number of words restricted,,"I tend to ignore writing ""Why"" in commit messages over time",,"I tend to write ""What"" in commit messages over time",,"I think that ""What"" is absolutely essential for all commit messages. But ""Why"" can be very helpful, particularly when fixing bugs or making non-obvious changes."
I consent,10 years or more but less than 15 years,5 years or more but less than 10 years,Neither agree nor disagree,Strongly agree,Probably yes,Agree,Neither agree nor disagree,Disagree,Disagree,Disagree,,Agree,Agree,Agree,Agree,Strongly disagree,,Probably yes,"""What"" (a summary of the code changes in the commit)",,Definitely yes,Strongly agree,No,,"A consistent commit message writing style/format/pattern across all commits in a project,A grammatically correct writing that is easy to read/understand",,"Other, please specify:","Why is very nice to have, but it's usually too complex to fit into a commit message. So it's better to have a clear ""what"" with a link to a story/ticket that explains why","I tend to write ""What"" in commit messages over time",,"Why is very nice to have, but it's usually too complex to fit into a commit message. So it's better to have a clear ""what"" with a link to a story/ticket that explains why"
I consent,15 years or more but less than 20 years,5 years or more but less than 10 years,Agree,Agree,Definitely yes,Agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,,Strongly agree,Strongly agree,Agree,Strongly agree,Neither agree nor disagree,,Definitely yes,"""Why"" and ""What"" are equally important",,Probably yes,Strongly agree,,,A consistent commit message writing style/format/pattern across all commits in a project,,"Other, please specify:","My commit messages are concise, with the why included in comments within the code. I tend to preserve old code with comment blocks so the exact changes are apparent to the next developer","Other, please specify:",See previous answer. Same applies here. ,
I consent,15 years or more but less than 20 years,2 years or more but less than 5 years,Agree,Strongly agree,Definitely not,Agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Disagree,"It enables meta discussions during code review, which might be especially helpful during onboard big or cross-team collaboration, when decision making is not obvious ",Agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,"It also affects negatively any people who work with code changes indirectly (release teams, infrastructure engineers, QAs). Having good summaries helps significantly there",Definitely yes,"Other, please specify:",Having clear separation between primary and secondary changes (is PR happens to have multiple ones),Definitely yes,Strongly agree,"Yes, please specify: (e.g. links, documents...)",CBeams - how to write a guy commit message,A consistent commit message writing style/format/pattern across all commits in a project,,"I tend to write ""Why"" in commit messages over time",,"I tend to write ""What"" in commit messages over time",,"Commit messages are one of the main tools for providing context both in short term (read code review) and long term (diffs, blames). They empower not just developers but also other people and processes which is an amazing force multiplier"
I consent,15 years or more but less than 20 years,2 years or more but less than 5 years,Strongly agree,Agree,Definitely yes,Strongly agree,Disagree,Disagree,Agree,Strongly disagree,,Strongly agree,Agree,Neither agree nor disagree,Strongly agree,Strongly disagree,,Definitely yes,"""Why"" and ""What"" are equally important",,Probably not,Strongly agree,No,,"A consice and to-the-point writing with the number of words restricted,A consistent commit message writing style/format/pattern across all commits in a project,A grammatically correct writing that is easy to read/understand",,"Other, please specify:","I would like to add the why, but most of the time, the commit rule ask no to add the why","I tend to write ""What"" in commit messages over time",,"I follow the repo ""how to contribute"" guidelines"
